@RELATION winner
@ATTRIBUTE c1 NUMERIC
@ATTRIBUTE c101 NUMERIC
@ATTRIBUTE c2 NUMERIC
@ATTRIBUTE c102 NUMERIC
@ATTRIBUTE class {1,2}
@DATA
1.482,-3.546999931335449,5.55,0.15299999713897705,1
1.648,3.4600000381469727,2.092,0.6020000576972961,1
1.274,2.6459999084472656,3.077,1.2899999618530273,1
3.018,4.680999755859375,3.0175,-3.065000057220459,1
1.604,0.1629999876022339,2.156,0.4609999656677246,1
1.592,2.0929999351501465,4.5,-3.999000072479248,1
1.258,0.26899999380111694,3.159,-1.0,1
2.029,-1.8459999561309814,5.0,1.6729999780654907,1
1.232,1.0,3.31,1.0,1
1.206,2.4570000171661377,3.489,-2.1100001335144043,2
1.893,1.4570000171661377,1.823,4.413000583648682,1
1.247,2.3500001430511475,3.221,-3.686000108718872,1
1.325,0.0,2.85,-2.0,2
1.549,3.2239999771118164,2.248,1.2480000257492065,1
1.106,1.3009999990463257,4.498,-5.548999786376953,1
1.231,1.0,3.317,-6.548999786376953,1
1.515,1.0,2.313,1.0,1
1.462,0.5470000505447388,2.429,1.0,1
1.728,1.0,1.991,-2.3299999237060547,1
1.367,0.27800002694129944,2.696,0.10099999606609344,1
3.018,-3.3399999141693115,3.017,6.698999881744385,1
1.782,0.6449999809265137,1.933,4.141000270843506,1
1.165,2.565000057220459,3.823,5.7260003089904785,1
1.396,1.0,2.605,0.0,2
1.417,3.8449997901916504,2.545,5.215000152587891,2
1.426,-0.32200002670288086,6.5,-0.8469999432563782,1
1.14,0.0,4.071,0.09200000017881393,1
1.656,0.5270000100135803,2.08,-1.0,2
1.418,0.18300005793571472,6.666,-4.999000072479248,1
1.099,1.2319999933242798,4.604,-0.15000009536743164,1
1.555,-1.6080000400543213,2.237,1.1649999618530273,2
1.612,2.2760000228881836,6.566,-6.367000102996826,1
1.296,1.0,2.973,-1.149999976158142,1
1.591,2.250999927520752,2.177,0.24800007045269012,2
1.259,1.406999945640564,3.154,1.2510000467300415,2
1.537,0.40700000524520874,2.271,1.2309999465942383,1
1.169,4.068999767303467,3.78,2.2669999599456787,1
1.151,0.0,3.96,2.2790000438690186,1
1.591,1.0,2.176,1.7280000448226929,1
1.648,-3.3299999237060547,2.091,3.2219998836517334,2
1.198,0.0,3.544,0.2369999885559082,1
1.473,0.0,2.403,6.760000228881836,1
2.334,0.931999921798706,3.45,0.6729999780654907,2
1.762,-1.0,1.953,0.07999992370605469,2
1.344,1.3309999704360962,2.777,-2.0,1
1.525,1.6749999523162842,2.293,1.2960000038146973,2
1.541,0.23100000619888306,2.263,1.4250000715255737,2
1.274,3.4049999713897705,3.077,-6.548999786376953,1
1.906,1.0,1.809,0.9439999461174011,2
1.208,2.7300000190734863,3.474,2.8450000286102295,1
2.168,5.355999946594238,1.596,1.6050000190734863,2
1.11,1.0,4.437,0.6520000696182251,1
1.212,1.590999960899353,3.44,4.312999725341797,1
2.012,3.888000011444092,4.145,3.123000144958496,2
1.562,1.0,2.225,1.0670000314712524,2
1.286,1.0,3.02,1.1410000324249268,2
3.018,-3.0959999561309814,3.017,0.5910000205039978,2
1.73,1.0,1.989,1.0,2
1.193,0.1510000228881836,3.585,-4.329999923706055,1
1.722,-0.7689999938011169,1.998,3.678999662399292,1
1.443,1.7529999017715454,2.476,1.0,1
1.224,2.19599986076355,3.36,3.7730002403259277,1
2.604,3.312999963760376,1.396,0.7279999852180481,2
1.269,0.1979999542236328,3.101,0.47300004959106445,1
1.7,-0.8979998826980591,2.024,2.4019999504089355,1
1.576,2.5889999866485596,2.201,-3.0,1
1.395,4.029000282287598,2.607,4.7260003089904785,1
1.26,1.84499990940094,3.151,3.7260000705718994,2
1.357,0.675000011920929,2.73,1.0,1
1.198,1.031999945640564,3.543,-0.4729999899864197,2
1.388,0.0,2.629,2.7730000019073486,1
1.66,1.5679999589920044,2.075,2.678999900817871,2
2.014,-0.3519999384880066,1.708,0.0,2
1.268,1.8690000772476196,3.106,1.2790000438690186,1
1.216,1.5149999856948853,3.416,1.0,2
1.624,1.7209999561309814,2.125,1.0,1
1.186,0.46700000762939453,3.642,2.2009999752044678,1
1.308,-0.5270000100135803,2.918,-0.7630000114440918,2
1.32,3.7159998416900635,2.871,-0.3379999101161957,2
1.302,-1.5269999504089355,2.944,0.8449999690055847,1
1.896,-4.126999378204346,4.25,3.685000419616699,1
1.421,1.0,2.534,2.069999933242798,1
