% MIN=0	-1	-0.3	-0.3	-1	0	
% MAX=5	1	0.3	0.3	1	250	
% SCALE=1	0.5	0.1	0.1	1	100	
% DEC=3	3	4	4	4	1	
% DEF="Time" t / s	"Voltage" U_1 / V	"Current" I_1 / A	"New Quantity" I_a / A	"New Quantity" P / W	"Frequency" f / Hz	
0.198	0.09	0.0036	NAN	NAN	NAN	
0.2	0.09	0.00375	NAN	NAN	NAN	
0.202	0.09	0.0036	NAN	NAN	NAN	
0.204	0.09	0.00345	0.00348	-0.0003132	NAN	
0.206	0.09	0.00315	NAN	NAN	NAN	
0.208	0.09	0.00345	NAN	NAN	NAN	
0.21	0.095	0.00375	NAN	NAN	NAN	
0.212	0.095	0.00345	NAN	NAN	NAN	
0.214	0.095	0.0033	0.00339	-0.00032205	NAN	
0.216	0.095	0.003	NAN	NAN	NAN	
0.218	0.095	0.00345	NAN	NAN	NAN	
0.22	0.1	0.0039	NAN	NAN	NAN	
0.222	0.1	0.0036	NAN	NAN	NAN	
0.224	0.1	0.003	0.00342	-0.000342	NAN	
0.226	0.1	0.00315	NAN	NAN	NAN	
0.228	0.1	0.00345	NAN	NAN	NAN	
0.23	0.1	0.00345	NAN	NAN	NAN	
0.232	0.105	0.0036	NAN	NAN	NAN	
0.234	0.105	0.00315	0.00339	-0.00035595	NAN	
0.236	0.105	0.00315	NAN	NAN	NAN	
0.238	0.105	0.0036	NAN	NAN	NAN	
0.24	0.105	0.00375	NAN	NAN	NAN	
0.242	0.11	0.00345	NAN	NAN	NAN	
0.244	0.11	0.0033	0.00345	-0.0003795	NAN	
0.246	0.11	0.00315	NAN	NAN	NAN	
0.248	0.11	0.0036	NAN	NAN	NAN	
0.25	0.11	0.0036	NAN	NAN	NAN	
0.252	0.11	0.00345	NAN	NAN	NAN	
0.254	0.115	0.00315	0.0033	-0.0003795	NAN	
0.256	0.115	0.003	NAN	NAN	NAN	
0.258	0.115	0.0033	NAN	NAN	NAN	
0.26	0.115	0.00375	NAN	NAN	NAN	
0.262	0.115	0.0036	NAN	NAN	NAN	
0.264	0.12	0.0033	0.00342	-0.0004104	NAN	
0.266	0.12	0.00315	NAN	NAN	NAN	
0.268	0.12	0.0033	NAN	NAN	NAN	
0.27	0.12	0.00375	NAN	NAN	NAN	
0.272	0.12	0.0036	NAN	NAN	NAN	
0.274	0.12	0.0033	0.00348	-0.0004176	NAN	
0.276	0.125	0.00315	NAN	NAN	NAN	
0.278	0.125	0.0036	NAN	NAN	NAN	
0.28	0.125	0.00345	NAN	NAN	NAN	
0.282	0.125	0.0036	NAN	NAN	NAN	
0.284	0.125	0.0033	0.00339	-0.00042375	NAN	
0.286	0.13	0.00315	NAN	NAN	NAN	
0.288	0.13	0.00345	NAN	NAN	NAN	
0.29	0.13	0.0036	NAN	NAN	NAN	
0.292	0.13	0.00375	NAN	NAN	NAN	
0.294	0.13	0.0033	0.00354	-0.0004602	NAN	
0.296	0.13	0.0033	NAN	NAN	NAN	
0.298	0.135	0.00375	NAN	NAN	NAN	
0.3	0.135	0.00375	NAN	NAN	NAN	
0.302	0.135	0.0036	NAN	NAN	NAN	
0.304	0.135	0.00315	0.00342	-0.0004617	NAN	
0.306	0.135	0.00315	NAN	NAN	NAN	
0.308	0.14	0.00345	NAN	NAN	NAN	
0.31	0.14	0.00375	NAN	NAN	NAN	
0.312	0.14	0.00345	NAN	NAN	NAN	
0.314	0.14	0.00315	0.00339	-0.0004746	NAN	
0.316	0.14	0.00315	NAN	NAN	NAN	
0.318	0.145	0.00345	NAN	NAN	NAN	
0.32	0.145	0.00375	NAN	NAN	NAN	
0.322	0.145	0.0036	NAN	NAN	NAN	
0.324	0.145	0.00315	0.00345	-0.00050025	NAN	
0.326	0.145	0.00315	NAN	NAN	NAN	
0.328	0.145	0.0036	NAN	NAN	NAN	
0.33	0.15	0.00375	NAN	NAN	NAN	
0.332	0.15	0.00375	NAN	NAN	NAN	
0.334	0.15	0.00315	0.00342	-0.000513	NAN	
0.336	0.15	0.00315	NAN	NAN	NAN	
0.338	0.15	0.0033	NAN	NAN	NAN	
0.34	0.155	0.0039	NAN	NAN	NAN	
0.342	0.155	0.0036	NAN	NAN	NAN	
0.344	0.155	0.00345	0.00354	-0.0005487	NAN	
0.346	0.155	0.0033	NAN	NAN	NAN	
0.348	0.155	0.00345	NAN	NAN	NAN	
0.35	0.155	0.0039	NAN	NAN	NAN	
0.352	0.16	0.00345	NAN	NAN	NAN	
0.354	0.16	0.00315	0.00339	-0.0005424	NAN	
0.356	0.16	0.003	NAN	NAN	NAN	
0.358	0.16	0.00345	NAN	NAN	NAN	
0.36	0.16	0.0036	NAN	NAN	NAN	
0.362	0.165	0.00375	NAN	NAN	NAN	
0.364	0.165	0.0033	0.00345	-0.00056925	NAN	
0.366	0.165	0.003	NAN	NAN	NAN	
0.368	0.165	0.0036	NAN	NAN	NAN	
