% MIN=0	-1	-0.3	0	
% MAX=0.1	1	0.3	2500	
% SCALE=5	0.5	0.1	1000	
% DEC=4	3	4	0	
% DEF="Time" t / ms	"Voltage" U_1 / V	"Current" I_1 / A	"Frequency" f / Hz	
0	0	0.0546	NAN	
0.2	0	0.0546	NAN	
0.4	0	0.0546	NAN	
0.6	0	0.0546	NAN	
0.8	0	0.05445	NAN	
1	0	0.05445	NAN	
1.2	0	0.0543	NAN	
1.4	0	0.05445	NAN	
1.6	0	0.05445	NAN	
1.8	0	0.05445	NAN	
2	0	0.05475	NAN	
2.2	0	0.0549	NAN	
2.4	0	0.0546	NAN	
2.6	0	0.0549	NAN	
2.8	0	0.05535	NAN	
3	0	0.0552	NAN	
3.2	0	0.0558	NAN	
3.4	0	0.0558	NAN	
3.6	0	0.05595	NAN	
3.8	0	0.05595	NAN	
4	0	0.0558	NAN	
4.2	0	0.0564	NAN	
4.4	0	0.05625	NAN	
4.6	0	0.05625	NAN	
4.8	0	0.0561	NAN	
5	0	0.0576	NAN	
5.2	0	0.05685	NAN	
5.4	0	0.05655	NAN	
5.6	0	0.0564	NAN	
5.8	0	0.05655	NAN	
6	0	0.0564	NAN	
6.2	0	0.0564	NAN	
6.4	0	0.0564	NAN	
6.6	0	0.05625	NAN	
6.8	0	0.05625	NAN	
7	0	0.0561	NAN	
7.2	0	0.0561	NAN	
7.4	0	0.05595	NAN	
7.6	0	0.0558	NAN	
7.8	0	0.05565	NAN	
8	0	0.0555	NAN	
8.2	0	0.0555	NAN	
8.4	0	0.0552	NAN	
8.6	0	0.05505	NAN	
8.8	0	0.0549	NAN	
9	0	0.05475	NAN	
9.2	0	0.0546	NAN	
9.4	0	0.0546	NAN	
9.6	0	0.0543	NAN	
9.8	0	0.0543	NAN	
10	0	0.05415	NAN	
10.2	0	0.05415	NAN	
10.4	0	0.05415	NAN	
10.6	0	0.054	NAN	
10.8	0	0.05415	NAN	
11	0	0.054	NAN	
11.2	0	0.05415	NAN	
11.4	0	0.054	NAN	
11.6	0	0.05415	NAN	
